scene_name,camera_name,frame_id,included_in_public_release,exclude_reason,split_partition_name
ai_001_001,cam_00,0,True,,train
ai_001_001,cam_00,1,True,,train
ai_001_001,cam_00,2,True,,train
ai_001_001,cam_00,3,True,,train
ai_001_001,cam_00,4,True,,train
ai_001_001,cam_00,5,True,,train
ai_001_001,cam_00,6,True,,train
ai_001_001,cam_00,7,True,,train
ai_001_001,cam_00,8,True,,train
ai_001_001,cam_00,9,True,,train
ai_001_001,cam_00,10,True,,train
ai_001_001,cam_00,11,True,,train
ai_001_001,cam_00,12,True,,train
ai_001_001,cam_00,13,True,,train
ai_001_001,cam_00,14,True,,train
ai_001_001,cam_00,15,True,,train
ai_001_001,cam_00,16,True,,train
ai_001_001,cam_00,17,True,,train
ai_001_001,cam_00,18,True,,train
ai_001_001,cam_00,19,True,,train
ai_001_001,cam_00,20,True,,train
ai_001_001,cam_00,21,True,,train
ai_001_001,cam_00,22,True,,train
ai_001_001,cam_00,23,True,,train
ai_001_001,cam_00,24,True,,train
ai_001_001,cam_00,25,True,,train
ai_001_001,cam_00,26,True,,train
ai_001_001,cam_00,27,True,,train
ai_001_001,cam_00,28,True,,train
ai_001_001,cam_00,29,True,,train
ai_001_001,cam_00,30,True,,train
ai_001_001,cam_00,31,True,,train
ai_001_001,cam_00,32,True,,train
ai_001_001,cam_00,33,True,,train
ai_001_001,cam_00,34,True,,train
ai_001_001,cam_00,35,True,,train
ai_001_001,cam_00,36,False,CONTENT FLAGGED FOR REMOVAL,
ai_001_001,cam_00,37,True,,train
ai_001_001,cam_00,38,True,,train
ai_001_001,cam_00,39,True,,train
ai_001_001,cam_00,40,True,,train
ai_001_001,cam_00,41,True,,train
ai_001_001,cam_00,42,True,,train
ai_001_001,cam_00,43,True,,train
ai_001_001,cam_00,44,True,,train
ai_001_001,cam_00,45,True,,train
ai_001_001,cam_00,46,True,,train
ai_001_001,cam_00,47,True,,train
ai_001_001,cam_00,48,True,,train
ai_001_001,cam_00,49,True,,train
ai_001_001,cam_00,50,True,,train
ai_001_001,cam_00,51,True,,train
ai_001_001,cam_00,52,True,,train
ai_001_001,cam_00,53,True,,train
ai_001_001,cam_00,54,True,,train
ai_001_001,cam_00,55,True,,train
ai_001_001,cam_00,56,True,,train
ai_001_001,cam_00,57,True,,train
ai_001_001,cam_00,58,True,,train
ai_001_001,cam_00,59,True,,train
ai_001_001,cam_00,60,True,,train
ai_001_001,cam_00,61,False,CONTENT FLAGGED FOR REMOVAL,
ai_001_001,cam_00,62,True,,train
ai_001_001,cam_00,63,True,,train
ai_001_001,cam_00,64,True,,train
ai_001_001,cam_00,65,True,,train
ai_001_001,cam_00,66,True,,train
ai_001_001,cam_00,67,True,,train
ai_001_001,cam_00,68,True,,train
ai_001_001,cam_00,69,True,,train
ai_001_001,cam_00,70,True,,train
ai_001_001,cam_00,71,True,,train
ai_001_001,cam_00,72,True,,train
ai_001_001,cam_00,73,True,,train
ai_001_001,cam_00,74,True,,train
ai_001_001,cam_00,75,True,,train
ai_001_001,cam_00,76,True,,train
ai_001_001,cam_00,77,True,,train
ai_001_001,cam_00,78,True,,train
ai_001_001,cam_00,79,True,,train
ai_001_001,cam_00,80,True,,train
