job_name,instance_type,vcpu_per_instance,time_instance_seconds,time_vcpu_seconds,cost_cloud_dollars,cost_vray_dollars,used_clock,total_clock,cpu_utilization,peak_memory_usage_gib,min_feasible_instance_type,camera_trajectory_included_in_dataset
ai_001_001@scene_cam_00_geometry,large,2,15983.782999999998,31967.565999999995,0.14296605905555554,0.07991891499999998,14950649,105334534,0.1419349232607798,0.9942626953125,large,True
ai_001_002@scene_cam_00_geometry,large,2,7933.721999999999,15867.443999999998,0.07096273566666665,0.03966860999999999,6312666,50102860,0.12599412488628395,0.7250213623046875,large,True
ai_001_002@scene_cam_01_geometry,large,2,8502.982999999998,17005.965999999997,0.07605445905555554,0.042514914999999986,6172270,53182419,0.11605846661469084,0.6990814208984375,large,True
ai_001_002@scene_cam_02_geometry,large,2,7693.446999999997,15386.893999999995,0.06881360927777776,0.03846723499999998,6455446,48130715,0.13412321009567382,0.7168922424316406,large,True
ai_001_002@scene_cam_03_geometry,large,2,7589.988000000001,15179.976000000002,0.06788822600000001,0.03794994000000001,6124138,47548032,0.12879897952453637,0.7002296447753906,large,True
ai_001_003@scene_cam_00_geometry,large,2,7975.013999999999,15950.027999999998,0.07133206966666665,0.03987506999999999,8030890,49872098,0.1610297204661412,0.7049942016601562,large,True
ai_001_004@scene_cam_00_geometry,large,2,8972.581000000004,17945.162000000008,0.08025475227777781,0.044862905000000015,9553854,56766297,0.16830151876913868,0.7114486694335938,large,True
ai_001_005@scene_cam_00_geometry,large,2,8135.560999999999,16271.121999999998,0.07276807338888888,0.04067780499999999,7797674,50957872,0.1530219707761737,0.7039337158203125,large,True
ai_001_005@scene_cam_01_geometry,large,2,8779.943999999996,17559.88799999999,0.07853172133333329,0.043899719999999975,8474072,55192040,0.15353793771710558,0.7352294921875,large,True
ai_001_005@scene_cam_02_geometry,large,2,8367.525,16735.05,0.0748428625,0.041837624999999996,8986633,52780875,0.17026305456285065,0.699981689453125,large,True
ai_001_005@scene_cam_03_geometry,large,2,8346.877999999997,16693.755999999994,0.07465818655555553,0.04173438999999998,8172584,52102863,0.15685479701950353,0.7000885009765625,large,True
ai_001_006@scene_cam_00_geometry,large,2,8261.202000000001,16522.404000000002,0.07389186233333335,0.041306010000000004,7276901,50748030,0.1433927780053728,0.7094917297363281,large,True
ai_001_006@scene_cam_01_geometry,large,2,7848.0549999999985,15696.109999999997,0.07019649194444443,0.03924027499999999,7335091,48671029,0.1507075389755988,0.7258796691894531,large,True
ai_001_006@scene_cam_02_geometry,large,2,7831.785,15663.57,0.07005096583333333,0.039158925,6775985,47809816,0.14172790374261218,0.7001228332519531,large,True
ai_001_007@scene_cam_00_geometry,large,2,8379.479999999998,16758.959999999995,0.0749497933333333,0.04189739999999998,9653144,52096711,0.18529277212912731,0.7724609375,large,True
ai_001_008@scene_cam_00_geometry,large,2,7522.415,15044.83,0.06728382305555557,0.037612075,8379813,46818702,0.17898430845007193,0.7088127136230469,large,True
ai_001_009@scene_cam_00_geometry,large,2,7420.263000000001,14840.526000000002,0.06637013016666668,0.037101315,7173717,46339481,0.15480788401579207,0.7098159790039062,large,True
ai_001_010@scene_cam_00_geometry,large,2,8021.344000000001,16042.688000000002,0.07174646577777778,0.040106720000000005,8058367,49652432,0.16229551454800845,0.694091796875,large,True
