scene_name,labeling_time_seconds,scene_included_in_dataset
ai_050_001,3869.0,True
ai_050_002,12361.0,True
ai_050_003,4470.0,True
ai_050_004,2517.0,True
ai_050_005,7136.0,True
ai_051_001,10848.0,True
ai_051_002,9911.0,True
ai_051_003,29278.0,True
ai_051_004,24154.0,True
ai_051_005,12763.0,True
ai_052_001,1300.0,True
ai_052_002,4215.0,True
ai_052_003,668.0,True
ai_052_004,6354.0,True
ai_052_005,3344.0,True
ai_052_006,6907.0,True
ai_052_007,3676.0,True
ai_052_008,12711.0,True
ai_052_009,8435.0,True
ai_052_010,15358.0,True
ai_053_001,605.0,True
ai_053_002,8243.0,True
ai_053_003,631.0,True
ai_053_004,458.0,True
ai_053_005,4842.0,True
ai_053_006,497.0,True
ai_053_007,2324.0,True
ai_053_008,2114.0,True
ai_053_009,779.0,True
ai_053_010,1530.0,True
ai_053_011,499.0,False
ai_053_012,903.0,True
ai_053_013,2540.0,True
ai_053_014,633.0,True
ai_053_015,3774.0,False
ai_053_016,498.0,True
ai_053_017,794.0,True
ai_053_018,3289.0,True
ai_053_019,1384.0,True
ai_053_020,772.0,True
ai_054_001,3510.0,True
ai_054_002,1620.0,True
ai_054_003,4984.0,True
ai_054_004,2100.0,True
ai_054_005,10611.0,True
ai_054_006,4717.0,True
ai_054_007,4445.0,True
ai_054_008,7005.0,True
ai_054_009,679.0,True
ai_054_010,6434.0,True
ai_055_001,16475.0,True
ai_055_002,8223.0,True
ai_055_003,2676.0,True
ai_055_004,6906.0,True
ai_055_005,6663.0,True
ai_055_006,21155.0,True
ai_055_007,7095.0,True
ai_055_008,5445.0,True
ai_055_009,4567.0,True
ai_055_010,1605.0,True
