scene_name,labeling_time_seconds,scene_included_in_dataset
ai_030_001,1908.0,True
ai_030_002,1477.0,True
ai_030_003,957.0,True
ai_030_004,2650.0,True
ai_030_005,1163.0,True
ai_030_007,2050.0,True
ai_030_008,789.0,True
ai_030_009,3036.0,True
ai_030_010,860.0,True
ai_031_001,1502.0,True
ai_031_003,3046.0,True
ai_031_004,1573.0,True
ai_031_005,964.0,False
ai_031_006,766.0,True
ai_031_007,1984.0,True
ai_031_008,8675.0,True
ai_031_009,2598.0,True
ai_031_010,1573.0,True
ai_032_001,829.0,True
ai_032_002,2059.0,True
ai_032_003,288.0,True
ai_032_004,2123.0,True
ai_032_005,806.0,True
ai_032_007,1298.0,True
ai_032_008,844.0,True
ai_032_009,3863.0,True
ai_033_001,5428.0,True
ai_033_002,3284.0,True
ai_033_004,1691.0,True
ai_033_005,1849.0,True
ai_033_007,2676.0,True
ai_033_008,6036.0,True
ai_033_009,2409.0,True
ai_033_010,2413.0,True
ai_034_001,6957.0,True
ai_034_002,10486.0,True
ai_034_003,2143.0,True
ai_034_005,4155.0,True
ai_035_001,1241.0,True
ai_035_002,1337.0,True
ai_035_003,1819.0,True
ai_035_004,2147.0,True
ai_035_005,1569.0,True
ai_035_006,845.0,True
ai_035_007,741.0,True
ai_035_008,1130.0,True
ai_035_009,8198.0,True
ai_035_010,1227.0,True
ai_036_001,2427.0,True
ai_036_002,8515.0,True
ai_036_003,6713.0,True
ai_036_005,3536.0,True
ai_036_006,17073.0,True
ai_036_007,5120.0,True
ai_036_008,1807.0,True
ai_036_009,2669.0,False
ai_036_010,3826.0,True
ai_037_001,3077.0,True
ai_037_002,4836.0,True
ai_037_003,4783.0,True
ai_037_004,1944.0,True
ai_037_005,2538.0,True
ai_037_006,1782.0,True
ai_037_007,1348.0,True
ai_037_008,3259.0,True
ai_037_009,1373.0,True
ai_037_010,2778.0,True
ai_038_002,3708.0,True
ai_038_003,2333.0,False
ai_038_004,3170.0,True
ai_038_005,509.0,True
ai_038_006,734.0,True
ai_038_007,506.0,True
ai_038_009,3338.0,True
ai_038_010,1649.0,True
ai_039_001,2100.0,False
ai_039_002,4058.0,True
ai_039_003,570.0,True
ai_039_004,3230.0,True
ai_039_005,1116.0,True
ai_039_006,1413.0,True
ai_039_007,837.0,True
ai_039_008,6649.0,True
ai_039_009,387.0,True
ai_039_010,1438.0,True
