scene_name,labeling_time_seconds,scene_included_in_dataset
ai_021_001,11038.0,True
ai_021_002,3474.0,True
ai_021_003,3785.0,True
ai_021_007,1175.0,True
ai_021_008,3491.0,True
ai_021_009,1895.0,True
ai_021_010,1922.0,True
ai_022_001,971.0,True
ai_022_002,5892.0,True
ai_022_003,668.0,True
ai_022_004,1157.0,True
ai_022_005,1787.0,True
ai_022_006,1127.0,True
ai_022_007,1662.0,True
ai_022_008,884.0,False
ai_022_009,1843.0,True
ai_022_010,1038.0,True
ai_023_001,893.0,True
ai_023_002,363.0,True
ai_023_003,831.0,True
ai_023_004,362.0,True
ai_023_005,2554.0,True
ai_023_006,681.0,True
ai_023_007,667.0,True
ai_023_008,646.0,True
ai_023_009,244.0,True
ai_023_010,1365.0,True
ai_024_001,1489.0,True
ai_024_002,5139.0,True
ai_024_003,842.0,True
ai_024_004,789.0,True
ai_024_005,852.0,True
ai_024_006,1035.0,True
ai_024_007,711.0,True
ai_024_008,890.0,True
ai_024_009,463.0,True
ai_024_010,498.0,True
ai_024_011,110.0,True
ai_024_012,603.0,True
ai_024_013,189.0,True
ai_024_014,827.0,True
ai_024_015,276.0,True
ai_024_016,180.0,True
ai_024_017,191.0,True
ai_024_018,1542.0,True
ai_024_019,171.0,True
ai_026_001,1197.0,True
ai_026_002,3052.0,True
ai_026_003,133.0,True
ai_026_004,112.0,True
ai_026_005,192.0,True
ai_026_006,269.0,True
ai_026_007,363.0,True
ai_026_008,255.0,True
ai_026_009,711.0,True
ai_026_011,530.0,True
ai_026_012,333.0,True
ai_026_013,383.0,True
ai_026_014,258.0,True
ai_026_015,164.0,True
ai_026_016,2190.0,True
ai_026_017,424.0,True
ai_026_018,231.0,True
ai_026_019,318.0,True
ai_026_020,61165.0,True
ai_027_001,8950.0,True
ai_027_003,8972.0,True
ai_027_004,2589.0,True
ai_027_005,13612.0,True
ai_027_006,3528.0,True
ai_027_007,1743.0,True
ai_027_008,4841.0,True
ai_027_009,7042.0,True
ai_027_010,816.0,True
ai_028_001,1369.0,True
ai_028_002,520.0,True
ai_028_003,6078.0,True
ai_028_004,309.0,True
ai_028_005,1465.0,True
ai_028_006,731.0,True
ai_028_008,569.0,True
ai_028_009,2541.0,True
ai_028_010,792.0,False
ai_029_001,4337.0,True
ai_029_002,7353.0,True
ai_029_003,10043.0,True
ai_029_004,5912.0,True
ai_029_005,1837.0,True
