scene_name,labeling_time_seconds,scene_included_in_dataset
ai_001_001,1397.0,True
ai_001_002,747.0,True
ai_001_003,2836.0,True
ai_001_004,909.0,True
ai_001_005,2649.0,True
ai_001_006,863.0,True
ai_001_007,1462.0,True
ai_001_008,1007.0,True
ai_001_009,587.0,True
ai_001_010,2319.0,True
ai_002_001,1599.0,True
ai_002_002,1995.0,True
ai_002_003,1462.0,True
ai_002_004,1698.0,True
ai_002_005,2786.0,True
ai_002_006,936.0,True
ai_002_007,307.0,True
ai_002_008,691.0,True
ai_002_009,200.0,True
ai_002_010,1166.0,True
ai_003_001,586.0,True
ai_003_002,1294.0,True
ai_003_003,421.0,True
ai_003_004,2332.0,True
ai_003_005,1299.0,True
ai_003_006,1057.0,True
ai_003_007,710.0,True
ai_003_008,1297.0,True
ai_003_009,5629.0,True
ai_003_010,1048.0,True
ai_004_001,1074.0,True
ai_004_002,724.0,True
ai_004_003,466.0,True
ai_004_004,616.0,True
ai_004_005,310.0,True
ai_004_006,270.0,True
ai_004_007,659.0,True
ai_004_008,3985.0,True
ai_004_009,577.0,True
ai_004_010,441.0,True
ai_005_001,6196.0,True
ai_005_003,1959.0,True
ai_005_004,710.0,True
ai_005_005,747.0,True
ai_005_006,965.0,True
ai_005_007,1265.0,True
ai_005_008,3529.0,True
ai_005_009,366.0,True
ai_005_010,841.0,True
ai_006_001,1847.0,True
ai_006_002,1085.0,True
ai_006_003,1063.0,True
ai_006_004,951.0,True
ai_006_006,1402.0,True
ai_006_007,1053.0,True
ai_006_008,2345.0,True
ai_006_009,1451.0,True
ai_006_010,1864.0,True
ai_007_001,463.0,True
ai_007_002,386.0,True
ai_007_004,565.0,True
ai_007_005,603.0,True
ai_007_006,233.0,True
ai_007_007,1129.0,True
ai_007_008,547.0,True
ai_007_009,435.0,True
ai_007_010,712.0,True
ai_008_001,2561.0,True
ai_008_002,687.0,True
ai_008_003,632.0,True
ai_008_004,399.0,True
ai_008_005,1487.0,True
ai_008_006,692.0,True
ai_008_007,1920.0,True
ai_008_008,1158.0,True
ai_008_009,962.0,True
ai_008_010,1174.0,True
ai_009_001,1288.0,True
ai_009_002,1070.0,True
ai_009_003,4695.0,True
ai_009_004,333.0,True
ai_009_005,352.0,True
ai_009_006,396.0,True
ai_009_007,676.0,True
ai_009_008,920.0,True
ai_009_009,331.0,True
